ticker,start,end
A,2005-01-06,
AABA,2005-01-06,2017-06-19
AAL,2015-03-23,2024-09-23
AAP,2015-07-09,2023-08-25
AAPL,2005-01-06,
ABBV,2013-01-02,
ABC,2005-01-06,2023-08-30
ABI,2005-01-06,2008-11-24
ABKFQ,2005-01-06,2008-06-11
ABMD,2018-05-31,2022-12-22
ABNB,2023-09-18,
ABS,2005-01-06,2006-06-02
ABT,2005-01-06,
ACAS,2007-07-09,2009-03-04
ACGL,2022-11-01,
ACN,2011-07-06,
ACS,2005-01-06,2010-02-08
ACV,2005-01-06,2006-11-17
ADBE,2005-01-06,
ADCT,2005-01-06,2007-07-02
ADI,2005-01-06,
ADM,2005-01-06,
ADP,2005-01-06,
ADS,2013-12-23,2020-06-22
ADSK,2005-01-06,
ADT,2012-10-02,2016-05-02
AEE,2005-01-06,
AEP,2005-01-06,
AES,2005-01-06,
AET,2005-01-06,2018-11-29
AFL,2005-01-06,
AGN,2005-01-06,2020-05-12
AIG,2005-01-06,
AIV,2005-01-06,2020-12-21
AIZ,2007-04-10,
AJG,2016-05-31,
AKAM,2007-07-12,
AKS,2008-07-01,2011-12-19
ALB,2016-07-01,
ALGN,2017-06-19,
ALK,2016-05-13,2023-12-18
ALL,2005-01-06,
ALLE,2013-12-02,
ALTR,2005-01-06,2015-12-28
ALXN,2012-05-25,2021-07-21
AMAT,2005-01-06,
AMCC,2005-01-06,2006-05-18
AMCR,2019-06-07,
AMD,2005-01-06,2013-09-23
AMD,2017-03-20,
AME,2013-09-23,
AMG,2014-07-01,2019-12-23
AMGN,2005-01-06,
AMP,2005-10-03,
AMT,2007-11-19,
AMTM,2024-09-30,2024-12-23
AMZN,2005-11-21,
AN,2005-01-06,2017-08-08
ANDV,2007-09-27,2018-10-01
ANDW,2005-01-06,2006-10-02
ANET,2018-08-28,
ANF,2007-03-29,2013-12-23
ANRZQ,2011-06-02,2012-10-02
ANSS,2017-06-19,2025-07-18
ANTM,2005-01-06,2022-06-28
AON,2005-01-06,
AOS,2017-07-26,
APA,2005-01-06,
APC,2005-01-06,2019-08-09
APCC,2005-01-06,2007-02-15
APD,2005-01-06,
APH,2008-09-30,
APO,2024-12-23,
APOL,2005-01-06,2013-07-01
APP,2025-09-22,
APTV,2012-12-24,
ARE,2017-03-20,
ARES,2025-12-11,
ARG,2009-09-09,2016-05-23
ARNC,2005-01-06,2020-04-06
ASH,2005-01-06,2008-11-14
ASN,2005-01-06,2007-10-08
ASO,2005-01-06,2006-11-06
AT,2005-01-06,2007-11-19
ATGE,2009-06-09,2012-10-01
ATI,2005-01-06,2015-07-02
ATO,2019-02-15,
ATVI,2015-08-31,2023-10-18
AV,2005-01-06,2007-10-26
AVB,2007-01-10,2026-08-18
AVGO,2014-05-08,
AVP,2005-01-06,2015-03-23
AVY,2005-01-06,
AW,2005-01-06,2008-12-05
AWK,2016-03-04,
AXON,2023-05-04,
AXP,2005-01-06,
AYE,2005-01-06,2011-02-28
AYI,2016-05-03,2018-06-18
AZO,2005-01-06,
BA,2005-01-06,
BAC,2005-01-06,
BALL,2022-05-10,
BAX,2005-01-06,
BBBY,2005-01-06,2017-07-26
BBT,2005-01-06,2019-12-09
BBWI,2021-08-03,2024-10-01
BBY,2005-01-06,
BC,2005-01-06,2008-06-23
BCR,2005-01-06,2017-12-29
BDK,2005-01-06,2010-03-15
BDX,2005-01-06,
BEAM,2005-01-06,2014-05-01
BEN,2005-01-06,
BF-B,2005-01-06,
BG,2023-03-15,
BHF,2017-08-07,2019-04-02
BHGE,2005-01-06,2019-10-18
BIG,2005-01-06,2013-02-14
BIIB,2005-01-06,
BIO,2020-06-22,2024-09-23
BJS,2005-01-06,2010-04-29
BK,2005-01-06,2026-05-21
BKNG,2009-11-06,
BKR,2019-10-18,
BLDR,2023-12-18,
BLK,2011-04-04,
BLL,2005-01-06,2022-05-10
BLS,2005-01-06,2007-01-03
BMC,2005-01-06,2013-09-11
BMET,2005-01-06,2007-07-12
